YTD ,Tüm gün gelen adetlerin slot yetişme oranları v1+v2+v3 (Planlamanın takip ettiği metot),,,,,,,Tüm gün gelen adetlerin Inbound geliş saatleri,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"55,88%","23,20%",240.598,99.871,430.541,462.626,,Gebze SC,80.577,14.261,16.907,32.927,43.317,42.356,31.617,0,4.928,24.500,71.589,29.030,0,11.693,6.178,2.188,0,0,2.470,0,0,3.726,7.341,4.936,430.541
İkitelli-Defne Transfer Merkezi,"40,00%","31,31%",151.511,118.605,378.804,402.621,,İkitelli-Defne Transfer Merkezi,34.160,19.542,0,0,15.896,64.074,22.922,37.946,15.880,94.700,11.434,16.958,8.961,3.135,0,0,0,0,0,5.730,0,5.322,22.144,0,378.804
Ayazağa Konsolidasyon Merkezi,"67,79%","15,39%",78.033,17.709,115.105,136.131,,Ayazağa Konsolidasyon Merkezi,0,0,0,5.154,26.779,58.646,19.306,774,4.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.105
Halkalı Konsolidasyon Merkezi,"52,27%","25,93%",76.506,37.954,146.362,167.058,,Halkalı Konsolidasyon Merkezi,0,0,0,13.842,6.315,72.727,23.003,6.038,16.913,7.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.362
Maltepe Konsolidasyon Merkezi,"77,13%","10,60%",113.670,15.615,147.368,203.864,,Maltepe Konsolidasyon Merkezi,0,0,0,27.142,80.445,29.411,8.385,0,0,1.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.368
Bursa MH,"53,61%","25,22%",87.072,40.963,162.425,176.454,,Bursa MH,13.292,8.037,0,0,4.074,56.768,54.087,26.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.425
Antalya MH,"14,47%","50,05%",8.056,27.862,55.673,177.054,,Antalya MH,0,0,2.630,1.457,5.946,0,0,2.470,33.397,9.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.673
Çayırova-Erguvan Transfer Merkezi,"42,94%","38,30%",51.114,45.586,119.035,124.216,,Çayırova-Erguvan Transfer Merkezi,14.846,0,0,0,5.084,10.477,20.676,35.575,25.729,6.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.035
Denizli MH,"10,91%","53,44%",9.270,45.427,85.006,177.363,,Denizli MH,0,0,2.772,0,6.950,1.236,0,4.014,52.527,17.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.006
,,,,,,,,Total,322.745,111.725,129.498,239.252,221.807,347.139,255.329,162.787,174.181,217.016,170.970,78.115,46.452,47.508,73.178,31.778,12.853,37.608,36.544,12.763,19.970,21.502,42.845,66.255,2.879.544
